Název souboru,Odkaz,Název,Kategorie
VY_32_INOVACE_28-09.pdf,https://drive.google.com/file/d/1dwr6NcE4g1isZ3S3V6Y-H4eaReQ1k4td/view?usp=drivesdk,Druhy programu z hlediska licencí,VYT
VY_32_INOVACE_36-06.pdf,https://drive.google.com/file/d/10ujEhcdaxfu6XEJgr1qEmT3Gddw4J9zk/view?usp=drivesdk,Vlastnosti CSS pro barvy a pozadí,VYT
VY_32_INOVACE_36-05.pdf,https://drive.google.com/file/d/1mdYMSSnUHKpOeqwwcvzkiP7xTHrRZKvf/view?usp=drivesdk,Vlastnosti CSS pro text - odstavec,VYT
VY_32_INOVACE_36-04.pdf,https://drive.google.com/file/d/1TsaBauacRgdUYQ7RsYFX3ffv_nqtLh1u/view?usp=drivesdk,Vlastnosti CSS pro font - písmo,VYT
VY_32_INOVACE_28-07.pdf,https://drive.google.com/file/d/1zvc99uHHtxXGCiJW0DOoCZSvZO1xM20u/view?usp=drivesdk,Architektura počítače,VYT
VY_32_INOVACE_28-06.pdf,https://drive.google.com/file/d/1xqQ91XmyJ-cqvnBw7xbnHmpypoqhGywZ/view?usp=drivesdk,Booleova algebra,VYT
VY_32_INOVACE_36-03.pdf,https://drive.google.com/file/d/1O7zg511FHjkbOsUdzg3Y3GZvPGXk2nIk/view?usp=drivesdk,Délkové jednotky v CSS,VYT
VY_32_INOVACE_28-05.pdf,https://drive.google.com/file/d/1Uv6ntZNThMopb7lYk6V9_FwLKYD-qLHr/view?usp=drivesdk,Kódování znaků,VYT
VY_32_INOVACE_36-02.pdf,https://drive.google.com/file/d/1HCMkKYPDLidMKVuUPh49M492CRmvFwiN/view?usp=drivesdk,Deklarace kaskádových stylů,VYT
VY_32_INOVACE_28-04.pdf,https://drive.google.com/file/d/1y4y1tI3OUOSWBkTETeLl2N19iA-Zsqmi/view?usp=drivesdk,Číselné soustavy,VYT
VY_32_INOVACE_36-01.pdf,https://drive.google.com/file/d/1Y3nYZ1X14-qvX3ib5P9yjCslSzdJRE70/view?usp=drivesdk,Kaskádové styly CSS,VYT
VY_32_INOVACE_28-03.pdf,https://drive.google.com/file/d/1_bqcBuUydDWqDZeWZPOWpN1x7YiuL0T1/view?usp=drivesdk,Základní pojmy,VYT
VY_32_INOVACE_28-02.pdf,https://drive.google.com/file/d/12MGfsJAi6GXHMNKHNRymGKT40bGQf9mE/view?usp=drivesdk,Zásady práce s počítačem,VYT
